id,,,,,,,,,,,,,,,,,,,
1993206480958001152,H-C-05_20_03_LJ,,,,,,,,,,,,,,,,,,
1992871268008988672,C-R-01_S_01_02_LJ,,,,,,,,,,,,,,,,,,
1992871272572391424,C-R-01_S_01_03_LJ,,,,,,,,,,,,,,,,,,
1992871299067809792,C-R-08_S_01_01_LJ,,,,,,,,,,,,,,,,,,
1992871329631703040,C-H-01_S_01_03_LJ,,,,,,,,,,,,,,,,,,
1992871357100199936,E-D-01_S_01_01_LJ,,,,,,,,,,,,,,,,,,
1992871360094932992,E-D-01_S_01_02_LJ,,,,,,,,,,,,,,,,,,
1992871363014168576,E-D-01_S_01_03_LJ,,,,,,,,,,,,,,,,,,
1992871375827767296,E-D-01_S_04_02,,,,,,,,,,,,,,,,,,
1992871384396730368,E-D-01_S_08_01,,,,,,,,,,,,,,,,,,
1992871395880734720,E-D-01_S_09_07_LJ,,,,,,,,,,,,,,,,,,
1992871401027145728,E-D-01_S_09_08_LJ,,,,,,,,,,,,,,,,,,
1992874600781975552,L-T-03_S_02_01_LJ,,,,,,,,,,,,,,,,,,
1992874603600547840,L-T-03_S_02_02_LJ,,,,,,,,,,,,,,,,,,
1992874606389760000,L-T-03_S_02_03_LJ,,,,,,,,,,,,,,,,,,
1992874636609720320,L-T-03_S_05_04_LJ,,,,,,,,,,,,,,,,,,
1992874651344310272,L-T-03_S_06_02_LJ,,,,,,,,,,,,,,,,,,
1992874668981358592,C-R-04_S_01_02,,,,,,,,,,,,,,,,,,
1992874675897765888,C-R-04_S_01_04_LJ,,,,,,,,,,,,,,,,,,
1992878374464393216,L-S-03_S_02_04_LJ,,,,,,,,,,,,,,,,,,
1992878378927132672,L-S-03_S_02_05_LJ,,,,,,,,,,,,,,,,,,
1992878381636653056,L-S-02_S_03_01_LJ,,,,,,,,,,,,,,,,,,
1992878395851149312,L-S-02_S_03_04_LJ,,,,,,,,,,,,,,,,,,
1992878399718297600,L-S-02_S_03_05_LJ,,,,,,,,,,,,,,,,,,
1990307174097752064,H-C-05_S_02_06_LJ,,,,,,,,,,,,,,,,,,
1986093485115183104,H-D-05_S_01_06,,,,,,,,,,,,,,,,,,
1990302368847237120,H-C-09_S_03_02_LJ,,,,,,,,,,,,,,,,,,
1990302167499673600,H-K-07_S_01_05_LJ,,,,,,,,,,,,,,,,,,
1988154133504462848,L-S-03_S_01_01,,,,,,,,,,,,,,,,,,
1988163581430075392,I-Q-04_S_03_01,,,,,,,,,,,,,,,,,,
1990302445867241472,H-K-07_S_06_03_LJ,,,,,,,,,,,,,,,,,,
1988154098851123200,H-C-04_S_03_01,,,,,,,,,,,,,,,,,,
1990302385758670848,H-C-10_S_01_04_LJ,,,,,,,,,,,,,,,,,,
1988154014721773568,L-H-01_S_02_01,,,,,,,,,,,,,,,,,,
1990302580806389760,H-D-07_S_05_05_LJ,,,,,,,,,,,,,,,,,,
1990302406268817408,H-D-06_S_01_02_LJ,,,,,,,,,,,,,,,,,,
1990302449218490368,H-K-07_S_06_04_LJ,,,,,,,,,,,,,,,,,,
1990307179546152960,H-C-06_S_03_05_LJ,,,,,,,,,,,,,,,,,,
1990302628373991424,H-D-10_S_02_01,,,,,,,,,,,,,,,,,,
1990302226014408704,H-K-08_S_03_04_LJ,,,,,,,,,,,,,,,,,,
1990302323917852672,H-C-06_S_03_02_LJ,,,,,,,,,,,,,,,,,,
1988154024846823424,H-K-08_S_04_01,,,,,,,,,,,,,,,,,,
1990302277621125120,H-C-05_S_02_02_LJ,,,,,,,,,,,,,,,,,,
1990302616416030720,H-D-09_S_06_01_LJ,,,,,,,,,,,,,,,,,,
1986739197746221056,C-O-02_S_01_01,,,,,,,,,,,,,,,,,,
1990302740143804416,H-K-07_S_09_04_LJ,,,,,,,,,,,,,,,,,,
1990302313276903424,H-C-06_S_01_04_LJ,,,,,,,,,,,,,,,,,,
1990302646833123328,H-K-01_S_04_02_LJ,,,,,,,,,,,,,,,,,,
1990302245782163456,H-K-09_S_02_03_LJ,,,,,,,,,,,,,,,,,,
1990302170729287680,H-K-07_S_01_06_LJ,,,,,,,,,,,,,,,,,,
1990302642806591488,H-K-01_S_04_01_LJ,,,,,,,,,,,,,,,,,,
1989561283246166016,I-R-03_171_01_LJ,,,,,,,,,,,,,,,,,,
1989561216166662144,I-R-03_266_01_LJ,,,,,,,,,,,,,,,,,,
1989567061424214016,I-M-05_69_01_LJ,,,,,,,,,,,,,,,,,,
1989567244933402624,I-M-05_158_01_LJ,,,,,,,,,,,,,,,,,,
1989567202013089792,I-R-03_220_01,,,,,,,,,,,,,,,,,,
1989560887207399424,I-R-03_33_01_LJ,,,,,,,,,,,,,,,,,,
1989560904156581888,I-R-03_42_01_LJ,,,,,,,,,,,,,,,,,,
1989560871738806272,I-R-03_31_01_LJ,,,,,,,,,,,,,,,,,,
1989560878328057856,I-R-03_32_01_LJ,,,,,,,,,,,,,,,,,,
2003133784383426560,L-S-02_S_06_02_LJ,,,,,,,,,,,,,,,,,,
2003108040336871424,H-C-04_S_03_05_LJ,,,,,,,,,,,,,,,,,,
2000045988424847360,H-C-04_S_03_06_LJ,,,,,,,,,,,,,,,,,,
2003107021976637440,H-C-04_S_03_02_LJ,,,,,,,,,,,,,,,,,,
2003384657273556992,L-S-01_S_02_02,,,,,,,,,,,,,,,,,,
2003105969197944832,H-K-09_S_02_04_LJ,,,,,,,,,,,,,,,,,,
2003105015094448128,H-K-09_S_02_02_LJ,,,,,,,,,,,,,,,,,,
2000834427189596160,L-H-01_S_06_05_LJ,,,,,,,,,,,,,,,,,,
2003387483345260544,L-S-03_S_03_03_LJ,,,,,,,,,,,,,,,,,,
2003791742331129856,L-H-01_S_07_06,,,,,,,,,,,,,,,,,,
2003795480252911616,L-H-01_S_07_07_LJ,,,,,,,,,,,,,,,,,,
2001970289730260992,L-H-03_S_03_03_LJ,,,,,,,,,,,,,,,,,,
2003409724472692736,H-C-10_S_01_02,,,,,,,,,,,,,,,,,,
2003644203615260672,H-C-03_S_05_04,,,,,,,,,,,,,,,,,,
2001611596836769792,L-T-03_S_01_02_LJ,,,,,,,,,,,,,,,,,,
2003399068428144640,L-H-02_S_05_04,,,,,,,,,,,,,,,,,,
2003410778039914496,H-K-05_S_05_01,,,,,,,,,,,,,,,,,,
2003650530106281984,L-H-01_S_05_01,,,,,,,,,,,,,,,,,,
2002979746727727104,L-H-01_S_02_02,,,,,,,,,,,,,,,,,,
2002980300203888640,L-H-01_S_02_04_LJ,,,,,,,,,,,,,,,,,,
2003651008961581056,L-H-01_S_07_03,,,,,,,,,,,,,,,,,,
2003410212077309952,H-C-10_S_01_03_LJ,,,,,,,,,,,,,,,,,,
2003411170169589760,H-K-05_S_05_02_LJ,,,,,,,,,,,,,,,,,,
1996397156218572800,H-C-04_S_06_01,,,,,,,,,,,,,,,,,,
2003402907990495232,H-D-06_S_04_04_LJ,,,,,,,,,,,,,,,,,,
2001961299428380672,E-D-01_S_06_03,,,,,,,,,,,,,,,,,,
1999657371110084608,H-K-05_S_05_03_LJ,,,,,,,,,,,,,,,,,,
2004033260300144640,H-D-06_S_05_01_LJ,,,,,,,,,,,,,,,,,,
2001968890619498496,L-H-01_S_01_03_LJ,,,,,,,,,,,,,,,,,,
2003753613423415296,C-F-01_S_02_01,,,,,,,,,,,,,,,,,,
1994612680983449600,H-K-07_S_08_03_LJ,,,,,,,,,,,,,,,,,,
2003400908435755008,I-R-03_224_01_LJ,,,,,,,,,,,,,,,,,,
2003651724551786496,H-C-03_03_03_LJ,,,,,,,,,,,,,,,,,,
2003652200966000640,H-C-03_12_04_LJ,,,,,,,,,,,,,,,,,,
2003652800390762496,H-C-03_12_03_LJ,,,,,,,,,,,,,,,,,,
2003719797451395072,I-R-03_57_01_LJ,,,,,,,,,,,,,,,,,,
2004032002331906048,I-R-03_59_01_LJ,,,,,,,,,,,,,,,,,,
1992871081219854336,L-H-01_S_03_04,,,,,,,,,,,,,,,,,,
1992871275604873216,C-R-01_S_02_02_LJ,,,,,,,,,,,,,,,,,,
1992871372010950656,E-D-01_S_01_05_LJ,,,,,,,,,,,,,,,,,,
1992871283330781184,C-R-01_S_02_04_LJ,,,,,,,,,,,,,,,,,,
1992871262480896000,C-R-01_S_01_01_LJ,,,,,,,,,,,,,,,,,,
1992871342936035328,C-H-02_S_01_04_LJ,,,,,,,,,,,,,,,,,,
1992874633027784704,L-T-03_S_05_03_LJ,,,,,,,,,,,,,,,,,,
1992871308974755840,C-R-08_S_01_03_LJ,,,,,,,,,,,,,,,,,,
1992871345989488640,C-O-02_S_01_02,,,,,,,,,,,,,,,,,,
1992871312334393344,C-F-04_S_01_02,,,,,,,,,,,,,,,,,,
1992874584696819712,L-T-01_S_01_04_LJ,,,,,,,,,,,,,,,,,,
